cluster,topic,dept,n,sample,prominence,dept_counts
Interleukin-33 and Immunoglobulin E in Allergic Responses,Histamine Receptors in Immune and Cellular Responses,Fisika,1,"[""VIRTUAL TARGET CONSTRUCTION FOR DISCOVERY OF HUMAN HISTAMINE H4 RECEPTOR LIGANDS EMPLOYING A STRUCTURE-BASED VIRTUAL SCREENING APPROACH""]",20.3,"{""Fisika"": 1}"
Interplay of Taste and Olfactory Sensations,TRPV4 Channel in Vascular and Cellular Dynamics,Ilmu Komputer dan Elektronika,1,"[""Transcriptome profile of next generation sequence data related to inflammation on nasopharyngeal carcinoma cases in Indonesia""]",76.3,"{""Ilmu Komputer dan Elektronika"": 1}"
Ion Implantation Techniques in Silicon Materials,Defect Dynamics and Diffusion in Silicon Systems,Fisika,1,"[""Atomic Vibrational Effect on Vacancy Concentration of Gray Tin (α-Sn): Computation Based on Density Functional Theory""]",9.0,"{""Fisika"": 1}"
Ischemic Stroke Management and Imaging Techniques,Machine Learning Models for Stroke Prediction,Matematika,1,"[""Enhancing stroke prediction models: A mixing of data augmentation and transfer learning for small-scale dataset in machine learning""]",81.9,"{""Matematika"": 1}"
Islamic Identity and Political Dynamics in Southeast Asia,Javanese Manuscripts and Cultural Narratives,Ilmu Komputer dan Elektronika,1,"[""A method for solving scriptio continua in Javanese manuscript transliteration""]",36.2,"{""Ilmu Komputer dan Elektronika"": 1}"
Laser and Arc Welding Techniques,Ultrasonic Innovations in Aluminum Alloy Processing,Ilmu Komputer dan Elektronika,1,"[""Comparative study of degassing method by using NaF-NaNO3-based tablet degasser, technical argon gas, and pure argon gas in aluminum casting""]",44.3,"{""Ilmu Komputer dan Elektronika"": 1}"
Lipase Enzymes in Biocatalytic Applications,Esterase and Lipase Innovations in Biocatalysis,Kimia,1,"[""Overexpression of lipase gene from Alcaligenes sp. JG3 and its activity toward hydrolysis reaction""]",48.3,"{""Kimia"": 1}"
MIMO Antenna Systems and Channel Estimation,Neural Network Applications in Channel Equalization,Ilmu Komputer dan Elektronika,1,"[""Nonlinear system identification using BBO-based multilayer perceptron network method""]",97.3,"{""Ilmu Komputer dan Elektronika"": 1}"
Macrophage Responses in Tuberculosis and Protein Interactions,Targeting Enzymatic Pathways in Mycobacterium Tuberculosis,Kimia,1,"[""Synthesis, antimalarial activity, and in silico study of pyridine-based N-phenylpyrazoline""]",79.5,"{""Kimia"": 1}"
Magnetic Properties and Coordination Complexes in Chemistry,Magnetic Properties of Layered Copper Hydroxides,Matematika,1,"[""Immobilization of Ascorbic Acid on Ni-Zn Layered Hydroxide Salts and its Application as [AuCl4]- Adsorbent""]",28.1,"{""Matematika"": 1}"
Mammalian Target of Rapamycin in Cancer Pathways,Forkhead Transcription Factors in Cellular Regulation,Matematika,1,"[""Analysis of a mathematical model of the interaction between PIP3, AKT, and FOXO3a in Acute Myeloid Leukemia""]",80.4,"{""Matematika"": 1}"
Mechanical Properties and Cardiac Function in Patients,Thermal Management Strategies in Surgical Settings,Belum terpetakan,1,"[""Determination of chicken blood-specific heat with adiabatic calorimeter based on extrapolation method""]",45.8,"{""Belum terpetakan"": 1}"
Mechanical Strength and Bonding in Dental Materials,Mechanical Properties of Acrylic Denture Resins,Fisika,1,"[""The properties of kenaf/carbon/PMMA hybrid composites by adding chitosan nano and microparticles""]",82.6,"{""Fisika"": 1}"
Melanocyte Function and Vitiligo Treatment Insights,Tyrosinase Inhibition and Melanin Regulation Insights,Kimia,1,"[""Synthesis, cytotoxicity assay, and molecular docking study of hydroxychalcone derivatives as potential tyrosinase inhibitors""]",64.4,"{""Kimia"": 1}"
Memory Architecture and Processor Design,Cache Memory Optimization in Multicore Systems,Ilmu Komputer dan Elektronika,1,"[""DeLoc: A Locality and Memory-Congestion-Aware Task Mapping Method for Modern NUMA Systems""]",17.5,"{""Ilmu Komputer dan Elektronika"": 1}"
Mercury Dynamics in Environmental and Health Contexts,Nutritional Potential of Edible Insects in Food,Kimia,1,"[""Ion exchange fraction of fish by-products protein as a food protein fortification ingredient""]",91.4,"{""Kimia"": 1}"
Mesenchymal Stem Cells in Regenerative Medicine,Mesenchymal Stem Cells in Immune Modulation,Fisika,1,"[""Mathematical Modelling of Lung Cancer Growth with Innate Immune Cell Response and The Role of Mesenchymal Stem Cell""]",84.3,"{""Fisika"": 1}"
Metabolomics and Its Role in Disease Understanding,Metabolomics and Its Role in Disease Understanding,Matematika,1,"[""Robust scaling strategies for outlier handling in orthogonal projection to latent structures discriminant analysis (OPLS-DA)""]",84.6,"{""Matematika"": 1}"
Methane Reduction through Feed Supplementation Strategies,Conjugated Linoleic Acid and Its Health Implications,Ilmu Komputer dan Elektronika,1,"[""Impact of Lactobacillus strains on free fatty acid profile in coconut neera""]",80.1,"{""Ilmu Komputer dan Elektronika"": 1}"
Microbial Solutions for Water Quality and Ecosystem Health,Microbially Induced Carbonate Precipitation in Soil Stabilization,Fisika,1,"[""Shoreline mapping based on beachrocks identification in Krakal-Sadranan beach, Yogyakarta, Indonesia""]",86.8,"{""Fisika"": 1}"
Microfluidic Systems for Enhanced Analytical Applications,Microfluidic Systems for Liquid-Liquid Extraction,Kimia,1,"[""New concept for the study of the fluid dynamics of lithium extraction using calix[4]arene derivatives in t-type microreactor systems""]",79.6,"{""Kimia"": 1}"
Moisture Dynamics and Energy Efficiency in Drying,Foam Mat Drying Techniques for Food Powders,Kimia,1,"[""Microencapsulation of Betacyanin from Dragon Fruit (Hylocereus polyrhizus) Peel by Foam-Mat Drying for Natural Food Colorant Application""]",74.0,"{""Kimia"": 1}"
Molecular Insights into Tumor Dynamics and Treatment,Stem Cell Factor Receptor in Cancer Progression,Kimia,1,"[""A MOLECULAR DOCKING STUDY OF EPOXYXANTHONES TOWARD NON-SMALL AND SMALL CELL LUNG CANCER TARGET PROTEINS""]",36.4,"{""Kimia"": 1}"
Morphometric Insights into Himalayan Landscape Evolution,Morphometric Insights into Watershed Dynamics,Matematika,1,"[""Mapping Potential Surface Runoff Areas in Batam with Geographic Information System for Flood Mitigation""]",16.3,"{""Matematika"": 1}"
Multidrug Resistance Mechanisms in Cancer Treatment,DNA Topoisomerases as Targets for Antibacterial Agents,Kimia,1,"[""The evaluation of dihydroxyxanthones as novel antibiotics against Staphylococcus Aureus and Escherichia Coli through in Vitro assay and molecular docking studies""]",56.6,"{""Kimia"": 1}"
Mushroom Compounds and Their Multifaceted Applications,Medicinal Mushrooms and Their Bioactive Properties,Kimia,1,"[""Effect of Drying Method on the Bioactive Properties of Oyster Mushroom (Pleurotus ostreatus)""]",68.0,"{""Kimia"": 1}"
National Identity and Minority Rights in Europe,Everyday Nationalism and Collective Identity Formation,Matematika,1,"[""Delivery structure of nationalism message on Twitter in the context of Indonesian netizens""]",6.0,"{""Matematika"": 1}"
Network Architecture and Security,Hardware Security Challenges in Integrated Circuit Design,Ilmu Komputer dan Elektronika,1,"[""MultiSAINT: Parallel Multi-Scale GNN for FPGA Hardware Trojan Detection""]",39.8,"{""Ilmu Komputer dan Elektronika"": 1}"
Neural Networks and Memristive Devices in Computing,Memory Effects in Diffusion and Reaction Dynamics,Matematika,1,"[""Fokker-Planck Equation and Its Application in Production Function""]",93.5,"{""Matematika"": 1}"
Neurochemical Mechanisms in Depression and Behavior,Serotonin 5-HT1A Receptor Dynamics in Depression,Ilmu Komputer dan Elektronika,1,"[""Substituted Indole Derivatives against Leucine Transporter (LeuT) as SSRI Antidepressant: Molecular Dynamics Study""]",24.1,"{""Ilmu Komputer dan Elektronika"": 1}"
Nonlinear Optical Properties in Materials,Nonlinear Optical Properties in Complexes,Kimia,1,"[""Performance of density functional theory for calculating the electronic, static, and dynamic nonlinear optical properties of asymmetric (3E,5E)-3,5-dibenzylidene-piperidin-4-one derivatives""]",13.9,"{""Kimia"": 1}"
Nutrient Dynamics and Toxicity in Aquatic Ecosystems,Cytotoxicity and Antioxidant Capacity of Plant Extracts,Fisika,1,"[""Exploring the Cytotoxic Activity of Dillenia serrata Thunb. Leaf Extracts: An In Vitro and In Silico Investigation""]",18.7,"{""Fisika"": 1}"
"Obesity, Metabolic Health, and Quality of Life",Normal Weight Obesity and Cardiometabolic Risks,Ilmu Komputer dan Elektronika,1,"[""A Mathematical Model of Social Interaction between the Sufferers of Cardiovascular and Type 2 Diabetes Mellitus""]",85.7,"{""Ilmu Komputer dan Elektronika"": 1}"
Oligodendrocyte Dynamics in Central Nervous System Recovery,Stem Cell Applications in Spinal Cord Recovery,Fisika,1,"[""Diamond concept as principle for the development of spinal cord scaffold: A literature review""]",73.6,"{""Fisika"": 1}"
Optimizing Query Processing in Information Systems,Geospatial Data Quality and User Interaction,Matematika,1,"[""CLASSIFICATION ANALYSIS FOR LAND SUITABILITY USING LINKED OPEN DATA""]",6.3,"{""Matematika"": 1}"
Optimizing Scheduling in Complex Manufacturing Systems,Integrating Preventive Maintenance in Scheduling Models,Kimia,1,"[""Optimization of Production and Maintenance Multiple Machines Scheduling in Batch Production System: A Case Study on the Pharmaceutical Industry in Central Java, Indonesia""]",88.4,"{""Kimia"": 1}"
Organic Matter Dynamics in Environmental Systems,Humic Acid Contributions to Soil Health,Kimia,1,"[""Characterization of Synthetic Humin from Solid Hydrolysate and Biochar from Hydrothermal Carbonization Products of Chicken Feather Waste""]",66.6,"{""Kimia"": 1}"
Organizational Dynamics in Employee Engagement and Ethics,Authentic Leadership and Its Impact on Work Environments,Ilmu Komputer dan Elektronika,1,"[""Activating empowerment through AI-guided reflection: the role of authentic leadership cues in a randomized controlled experiment""]",95.0,"{""Ilmu Komputer dan Elektronika"": 1}"
Ovarian Cancer Management and Patient Outcomes,Ovarian Cancer Risk Factors and Patient Outcomes,Kimia,1,"[""A promising computational study of ovarian cancer treatment of the isolated compound 5,7-dihydroxy-3(R)-methylphthalide""]",48.7,"{""Kimia"": 1}"
Parasite Infections and Immune Responses,Helminth Infections and Their Socioeconomic Impact,Ilmu Komputer dan Elektronika,1,"[""Essential Advances in Soil-Transmitted Helminth Detection Using Machine Learning and Deep Learning: A Systematic Review""]",31.1,"{""Ilmu Komputer dan Elektronika"": 1}"
"Parkinson's Disease: Gait, Cognition, and Quality of Life",Wearable Sensors for Parkinson's Disease Management,Belum terpetakan,1,"[""Hybrid ConvTransLSTM for spatio-temporal classification: identifying early Parkinson’s disease from gait patterns""]",82.9,"{""Belum terpetakan"": 1}"
Patient Satisfaction in Health Care Systems,Diagnosis-Related Groups in Health Care Systems,Ilmu Komputer dan Elektronika,1,"[""Toward design of an agent-based writing support system for the soap note: A content analysis of the video-based survey""]",29.1,"{""Ilmu Komputer dan Elektronika"": 1}"
Philosophical Foundations of Ethics and Society,Philosophical Foundations of Early German Romanticism,Fisika,1,"[""Investigation of the physics phenomena of weakly damped wave equations with forced force: Theory and simulation""]",4.9,"{""Fisika"": 1}"
Philosophical Foundations of Human Understanding,Kepler Laws and Orbital Dynamics in Celestial Mechanics,Fisika,1,"[""Introducing alternative theories of gravity through analysis of perihelion precession""]",3.9,"{""Fisika"": 1}"
Philosophical Foundations of Scientific Realism and Truth,Epistemic Insights into Computational Simulation Models,Ilmu Komputer dan Elektronika,1,"[""Numerical Estimation of Rice Harvest Growth in West Lombok regency Using Adam-Bashforth-Moulton Method""]",7.5,"{""Ilmu Komputer dan Elektronika"": 1}"
Phytoplasma Diseases and Insect Communication Mechanisms,Citrus Greening Disease and Vector Management,Fisika,1,"[""Finding Hidden Huanglongbing using an Electronic Nose""]",20.4,"{""Fisika"": 1}"
Piezoelectric Energy Harvesting Technologies,Harnessing Acoustic Energy through Piezoelectric Systems,Matematika,1,"[""Optimization of resonator length and loudspeaker's housing length of an acoustic energy harvester""]",98.8,"{""Matematika"": 1}"
Plant Responses to Climate Change and Water Efficiency,Xylem Growth Dynamics Under Climate Variability,Fisika,1,"[""Development and Application of a Low-Cost CT System for Analyzing Growth Ring Formation""]",74.8,"{""Fisika"": 1}"
Polyurethane and Carbon Dioxide Utilization,Innovative Epoxidation Techniques for Vegetable Oils,Kimia,1,"[""Oleate Epoxides Derived from Palm Oil as New Anticancer Agents: Synthesis, Cytotoxicity Evaluation, and Molecular Docking Studies Against FASN Protein""]",80.2,"{""Kimia"": 1}"
Power System Reliability and Control,Integration of Smart Grid Technologies for Power Management,Ilmu Komputer dan Elektronika,1,"[""Ullage level monitoring model using sensors inside and outside the system in the fino-style winemaking aging process""]",71.4,"{""Ilmu Komputer dan Elektronika"": 1}"
Prognostic Factors in Cancer and Inflammation,Inflammation-Based Prognostic Ratios in Cancer Outcomes,Kimia,1,"[""Development of Nomogram for Predicting the Overall Survival of Diffuse Large B-Cell Lymphoma (DLBCL) Patients Based on Clinical Data and Systemic Inflammation Markers""]",59.3,"{""Kimia"": 1}"
Properties of Analytic Functions and Operators,Characterization of Operators in Hilbert Spaces,Matematika,1,"[""Spectrum properties of self-adjoint operator""]",18.0,"{""Matematika"": 1}"
Proteomic Techniques for Biomarker Discovery and Analysis,Optimized Mass Spectrometry for Proteomic Characterization,Kimia,1,"[""ANTIBACTERIAL PEPTIDE FROM SOLID PHASE EXTRACTION (SPE) FRACTIONATION ON TRYPSIN HYDROLYSIS OF JATROPHA (Ricinus communis) SEED PROTEIN ACID EXTRACT""]",56.0,"{""Kimia"": 1}"
Public-Private Partnerships in Construction Management,Risk Management in Construction and Environmental Projects,Fisika,1,"[""The characterization of a photoacoustic tomography imaging system and its application to distinguish healthy liver and worm-infected liver""]",82.1,"{""Fisika"": 1}"
Qualitative Insights into Health and Education Dynamics,Qualitative Insights into Health Experiences and Research,Kimia,1,"[""Evaluation online learning system of PIP Semarang cadet""]",76.8,"{""Kimia"": 1}"
Quality Management Systems in Diverse Industries,ISO Certification and Quality Management Impact,Matematika,1,"[""The Impact of the Covid 19 Pandemic on the Performance of SNI Certified SMEs""]",81.9,"{""Matematika"": 1}"
Quantum Dots and Photovoltaic Innovations in Energy,Concentrator Photovoltaic Systems,Fisika,1,"[""The effect of mirror concentrator shape and size on horizontally installed PV output power""]",57.3,"{""Fisika"": 1}"
Quantum Dots and Their Multifaceted Applications,Zinc Sulfide Nanoparticles in Photonic Applications,Kimia,1,"[""Novel Tailoring of Ternary ZnS-MXene-TiO2 Nanocomposite Heterojunction and Its Tunable Electrochemical Properties With Enhanced Photocatalytic Degradation""]",83.1,"{""Kimia"": 1}"
Radiation Exposure and Kidney Stone Management,Digital Radiography and Image Quality Enhancement,Fisika,1,"[""A multifunctional geometric phantom for digital radiography assessment""]",50.7,"{""Fisika"": 1}"
